,Date,Open,High,Low,Close,Adj Close,Volume,weekday,shift_close
481,10/11/18,51.506001,52.450001,49.806,50.445999,50.445999,40838500,3,51.375999
482,10/12/18,52.200001,52.397999,50.402,51.756001,51.756001,36007000,4,50.445999
483,10/15/18,51.812,52.655998,50.908001,51.917999,51.917999,31000000,0,51.756001
484,10/16/18,53.139999,55.476002,52.448002,55.318001,55.318001,47632000,1,51.917999
485,10/17/18,56.48,56.540001,53.16,54.355999,54.355999,43277500,2,55.318001
486,10/18/18,53.858002,54.200001,52.599998,52.782001,52.782001,27106000,3,54.355999
487,10/19/18,53.478001,53.931999,50.700001,52,52,46877500,4,52.782001
488,10/22/18,52.136002,52.372002,50.518002,52.189999,52.189999,28001500,0,52
489,10/23/18,52.773998,59.585999,52.419998,58.827999,58.827999,95139000,1,52.189999
490,10/24/18,60.209999,60.888,57.146,57.700001,57.700001,100291500,2,58.827999
491,10/25/18,63.444,64.199997,60.202,62.972,62.972,104203500,3,57.700001
492,10/26/18,61.650002,67.980003,61.330002,66.18,66.18,137127500,4,62.972
493,10/29/18,67.494003,69.431999,65.300003,66.970001,66.970001,72430000,0,66.18
494,10/30/18,65.678001,67.580002,64.452003,65.980003,65.980003,45633500,1,66.970001
495,10/31/18,66.508003,68.400002,65.82,67.463997,67.463997,38121500,2,65.980003
496,11/1/18,67.652,69.568001,66.945999,68.856003,68.856003,40000500,3,67.463997
497,11/2/18,68.748001,69.839996,68.181999,69.281998,69.281998,39040000,4,68.856003
498,11/5/18,68.099998,68.792,66.028,68.279999,68.279999,39155000,0,69.281998
499,11/6/18,67.814003,69.760002,67.218002,68.211998,68.211998,33814500,1,68.279999
500,11/7/18,68.667999,70.236,68.160004,69.632004,69.632004,36872500,2,68.211998
501,11/8/18,69.699997,71.515999,69.688004,70.279999,70.279999,35453500,3,69.632004
502,11/9/18,69.800003,70.800003,69.045998,70.101997,70.101997,25494000,4,70.279999
503,11/12/18,69.674004,69.956001,66.068001,66.255997,66.255997,34707500,0,70.101997
504,11/13/18,66.632004,68.940002,66.440002,67.746002,67.746002,27243000,1,66.255997
505,11/14/18,68.540001,69.421997,67.43,68.800003,68.800003,25201500,2,67.746002
506,11/15/18,68.466003,69.716003,67.807999,69.688004,69.688004,23128500,3,68.800003
507,11/16/18,69.038002,71.139999,69.024002,70.862,70.862,36031000,4,69.688004
508,11/19/18,71.267998,73.349998,70.575996,70.694,70.694,48544500,0,70.862
509,11/20/18,68.349998,69.959999,66.709999,69.498001,69.498001,40023500,1,70.694
510,11/21/18,70.400002,70.620003,67.480003,67.638,67.638,23434000,2,69.498001
511,11/23/18,66.870003,67.5,65.110001,65.166,65.166,21013000,4,67.638
512,11/26/18,65,69.244003,65,69.199997,69.199997,39960500,0,65.166
513,11/27/18,68.010002,69.391998,67.099998,68.783997,68.783997,31791500,1,69.199997
514,11/28/18,69.197998,69.655998,68.442001,69.573997,69.573997,20638000,2,68.783997
515,11/29/18,69.400002,69.5,67.910004,68.234001,68.234001,15403500,3,69.573997
516,11/30/18,68.365997,70.32,67.652,70.096001,70.096001,28145500,4,68.234001
517,12/3/18,72,73.199997,70.400002,71.697998,71.697998,41532500,0,70.096001
518,12/4/18,71.209999,73.736,70.400002,71.940002,71.940002,42309500,1,71.697998
519,12/6/18,71.202003,73.475998,70.152,72.612,72.612,39212500,3,71.940002
520,12/7/18,73.800003,75.898003,71.529999,71.594002,71.594002,57556000,4,72.612
521,12/10/18,72,73.195999,70.624001,73.029999,73.029999,33067500,0,71.594002
522,12/11/18,73.982002,74.433998,72.045998,73.351997,73.351997,31544000,1,73.029999
523,12/12/18,73.884003,74.382004,73.031998,73.32,73.32,25135000,2,73.351997
524,12/13/18,74.029999,75.487999,73.349998,75.358002,75.358002,36829500,3,73.32
525,12/14/18,75,75.573997,72.865997,73.141998,73.141998,31688000,4,75.358002
526,12/17/18,72.400002,73.139999,68.776001,69.683998,69.683998,38370000,0,73.141998
527,12/18/18,70.108002,70.309998,66.737999,67.405998,67.405998,35500000,1,69.683998
528,12/19/18,67.519997,69.402,65.947998,66.594002,66.594002,41371000,2,67.405998
529,12/20/18,65.410004,66.057999,62.374001,63.076,63.076,45359500,3,66.594002
530,12/21/18,63.48,64.694,62.487999,63.953999,63.953999,40084000,4,63.076
531,12/24/18,62.700001,62.900002,59.040001,59.077999,59.077999,27799500,0,63.953999
532,12/26/18,60,65.393997,58.818001,65.218002,65.218002,40815500,2,59.077999
533,12/27/18,63.967999,64.433998,60.299999,63.226002,63.226002,42875500,3,65.218002
534,12/28/18,64.620003,67.248001,63.681999,66.774002,66.774002,49695000,4,63.226002
535,12/31/18,67.557999,67.842003,65.052002,66.559998,66.559998,31511500,0,66.774002
536,1/2/19,61.220001,63.026001,59.759998,62.023998,62.023998,58293000,2,66.559998
537,1/3/19,61.400002,61.880001,59.476002,60.071999,60.071999,34826000,3,62.023998
538,1/4/19,61.200001,63.599998,60.546001,63.537998,63.537998,36970500,4,60.071999
539,1/7/19,64.344002,67.348,63.549999,66.991997,66.991997,37756000,0,63.537998
