candle_begin_time,open,high,low,close,volume,signal,pos,equity_change,equity_curve
2018/9/13 10:00,191.3278313,195.31,191.2919366,193.14,55278.55413,,1,0.02515478,1956.710134
2018/9/13 11:00,193.05,195.5,191.34,195.28,17894.20358,,1,0.029335387,2014.110983
2018/9/13 12:00,195.28,199,195,198.15,55255.452,,1,0.038221088,2091.092496
2018/9/13 13:00,198.11,207.67,196.67,205.26,121767.1237,,1,0.091201273,2281.802795
2018/9/13 14:00,205.23,205.89,202.31,202.46,38345.79602,,1,-0.032914288,2206.69888
2018/9/13 15:00,202.44,203.9986674,200.71,202.53,34724.06883,,1,0.000850863,2208.576477
2018/9/13 16:00,202.53,212,202.53,207.76,94544.45633,,1,0.063517558,2348.859862
2018/9/13 17:00,207.83,210.58,204.39,207.59,48718.29313,,1,-0.001941317,2344.299981
2018/9/13 18:00,207.61,208.44,205.3,205.92,18321.82407,,1,-0.019107674,2299.50586
2018/9/13 19:00,205.9,206.88,201.41,202.99,36638.78858,,1,-0.034177292,2220.914978
2018/9/13 20:00,203,206.8796218,200.8,205.81,33874.74595,,1,0.034058202,2296.555349
2018/9/13 21:00,205.86,205.96,202.81,204.8318299,11319.61908,,1,-0.011424626,2270.318062
2018/9/13 22:00,204.87,210.41,204.35,207.89,30609.48477,,1,0.036130958,2352.346829
2018/9/13 23:00,207.86,215.19,207.76,211.09,42604.15627,,1,0.036488261,2438.179875
2018/9/14 0:00,211.09,212.89,208.56,208.57,17741.22906,,1,-0.027722944,2370.586351
2018/9/14 1:00,208.57,214.5,208.55,213.44,20299.35137,,1,0.055103315,2501.213518
2018/9/14 2:00,213.46,221.9610463,213.45,219.6,57077.93003,,1,0.066059379,2666.442131
2018/9/14 3:00,219.57,224.21,218.27,218.48,47312.64541,,1,-0.011266536,2636.400565
2018/9/14 4:00,218.49,220.4,215.88,216.76,37212.52988,,1,-0.017499337,2590.265303
2018/9/14 5:00,216.76,220.72,216.76,217.5,27524.82453,,1,0.00766288,2610.114194
2018/9/14 6:00,217.49,218.54,215.39,217.29,15118.46429,,1,-0.002158064,2604.481401
2018/9/14 7:00,217.2,219.99,212,213.05,44580.08087,,1,-0.043666576,2490.752615
2018/9/14 8:00,213.05,213.93,202.95,204.32,80527.36368,,1,-0.094013061,2256.589337
2018/9/14 9:00,204.32,207.61,203.23,204.16,47435.52392,,1,-0.001901831,2252.297685
2018/9/14 10:00,204.15,207.4,204,205.48,22683.65071,,1,0.015720005,2287.703816
2018/9/14 11:00,205.45,210.92,205.07,208.3272436,29249.24123,,1,0.033383308,2364.074938
2018/9/14 12:00,208.33,209.3,206,208.78,22126.63955,,1,0.00513698,2376.219145
2018/9/14 13:00,208.77,209.17,204.42,205.14,28609.11093,,1,-0.04108842,2278.584055
2018/9/14 14:00,205.11,206.63,203,204.79,42356.0919,,1,-0.004120098,2269.196066
2018/9/14 15:00,204.78,208.77,204.77,208.1,21369.04173,,1,0.039125556,2357.979623
2018/9/14 16:00,208.09,218.71,208.09,217.6267675,76615.43123,,1,0.108370247,2613.514457
2018/9/14 17:00,217.61,217.67,212.25,212.7,37469.41173,,1,-0.050564033,2481.364626
2018/9/14 18:00,212.7,215.74,212.57,215.01,17741.92623,,1,0.024970425,2543.325356
2018/9/14 19:00,215.01,220.44,214.74,218.96,43456.14198,,1,0.041658125,2649.275521
2018/9/14 20:00,219.04,221.55,216.7744312,218.77,30595.13529,,1,-0.001923672,2644.179184
2018/9/14 21:00,218.77,218.87,213.64,215,20375.94328,,1,-0.038243269,2543.057127
2018/9/14 22:00,214.99,217.21,212.59,215.5,14710.25171,,1,0.005273737,2556.468541
2018/9/14 23:00,215.51,216.43,207.87,208.49,23201.87728,,1,-0.073549904,2368.440525
2018/9/15 0:00,208.49,211.7,208.33,209.6,13853.40516,,1,0.012570861,2398.213863
2018/9/15 1:00,209.54,216.17,209.5,215.01,16682.42259,,1,0.060508154,2543.325356
2018/9/15 2:00,215.1,215.13,212.01,212.36,13832.6294,,1,-0.027947856,2472.244865
